/Users/apple/code/open-source/my-projects/web3-practice/.venv/bin/python /Users/apple/code/open-source/my-projects/web3-practice/main.py

block_number=12965285, burn=0.577843770800822699
block_number=12965286, burn=0.479923799624501133
block_number=12965287, burn=1.796793102472949532
block_number=12965288, burn=0.07936903930742752
block_number=12965289, burn=0.27601668009392608
block_number=12965290, burn=1.680618428145640144
block_number=12965291, burn=0.498750243030869544
block_number=12965292, burn=1.357902891803240618
block_number=12965293, burn=1.83207713938059264
block_number=12965294, burn=0.02054703432547997
block_number=12965295, burn=1.850005036585679418
block_number=12965296, burn=0.360652752257275346
block_number=12965297, burn=1.333853654225748936
block_number=12965298, burn=0.230981175024612966
block_number=12965299, burn=1.806418703319609078
block_number=12965300, burn=1.30695181529775765
block_number=12965301, burn=0.78684257273895805
block_number=12965302, burn=0.860570025059575897
block_number=12965303, burn=1.995076773937724505
block_number=12965304, burn=1.005219017450273292
block_number=12965305, burn=0.189479775148179005
block_number=12965306, burn=1.982934943237368828
block_number=12965307, burn=0
block_number=12965308, burn=1.948420765386036256
block_number=12965309, burn=0.88788932994693108
block_number=12965310, burn=0.210065999051497966
block_number=12965311, burn=1.374843911027044015
block_number=12965312, burn=0.54868515217205088
block_number=12965313, burn=0.810854882853457091
block_number=12965314, burn=0.623950073798261582
block_number=12965315, burn=1.661241679775146812
block_number=12965316, burn=1.816091730745166994
block_number=12965317, burn=0.142632037257174096
block_number=12965318, burn=1.091525929687031943
block_number=12965319, burn=0.141000716606558256
block_number=12965320, burn=1.228671724689945333
block_number=12965321, burn=1.276167889942544698
block_number=12965322, burn=0.330005577758889237
block_number=12965323, burn=0.357171443208509229
block_number=12965324, burn=1.64482696708782545
block_number=12965325, burn=0.671682062907795852
block_number=12965326, burn=0.598823132998856262
block_number=12965327, burn=1.417477404712452817
block_number=12965328, burn=0.445414325147404668
block_number=12965329, burn=1.732405021246331075
block_number=12965330, burn=0.098961572758194037
block_number=12965331, burn=0.504425462648004718
block_number=12965332, burn=1.641466124049672899
block_number=12965333, burn=0.3089371932622974
block_number=12965334, burn=0.048958732198483089
block_number=12965335, burn=1.495266992392143845
block_number=12965336, burn=1.67955256368936314
block_number=12965337, burn=0.452268587641040442
block_number=12965338, burn=0.764504295847109626
block_number=12965339, burn=1.109056789530203532
block_number=12965340, burn=0.90388960228067043
